name,pca2_mean,pca2_std,pca2_entropy,pca2_ggd1,pca2_ggd2,pca2_aggd1,pca2_aggd2,pca2_aggd3,pca2_aggd4,pca2_gamma1,pca2_gamma2,omni_mean,omni_std,omni_entropy,omni_ggd1,omni_ggd2,omni_aggd1,omni_aggd2,omni_aggd3,omni_aggd4,omni_gamma1,omni_gamma2,egen_mean,egen_std,egen_entropy,egen_ggd1,egen_ggd2,egen_aggd1,egen_aggd2,egen_aggd3,egen_aggd4,egen_gamma1,egen_gamma2,vert_mean,vert_std,vert_entropy
Clavicula100205_29.ply,0.5927595,0.07971741,7.054998025850617,10.000000000000007,0.59809583,2.312000000000002,0.12675632625851896,0.9230421,1.0795254,55.29169716261458,0.010720588298352937,0.18065682,0.05917429,6.6108654062021674,10.000000000000007,0.19010104,1.7970000000000013,0.2500172627861325,0.8454647,1.1629102,9.320770986611024,0.019382176048534674,0.8359296529504182,0.09182861906059826,6.392486988511602,10.000000000000007,0.8409582039130333,1.7460000000000013,-0.07627546341579391,1.0483527251949303,0.9511390224661335,82.86909323620833,0.010087351270608232,0.4246626,0.2888611,7.538517265813557
Clavicula100205_25.ply,0.6034199,0.060263745,6.663269751103149,10.000000000000007,0.60642165,1.8430000000000015,0.27208262823867263,0.83329487,1.1776469,100.2619549264864,0.006018433004732542,0.044042125,0.026973728,5.165162350438942,5.969000000000006,0.051645674,0.8340000000000005,0.5030295769541516,0.63140595,1.3793449,2.6660221594377163,0.016519789344754912,0.6997308219005248,0.20386146361335036,2.312811007244087,10.000000000000007,0.7288222253208908,0.2,-0.3748099587624327,1.6719047343483349,0.17787966235091718,11.781510202690049,0.059392285866777646,0.45751488,0.28202572,7.556061081006449
Clavicula100205_32.ply,0.5534716,0.07606421,7.054463908901066,10.000000000000007,0.5586739,2.308000000000002,0.15033423232000165,0.909076,1.0946972,52.946740768442396,0.01045336538241866,0.33691546,0.14173467,6.010866274832211,10.000000000000007,0.36551377,1.295000000000001,0.4205882061585463,0.72852844,1.2907608,5.650656507116082,0.05962412992550627,0.8295647903930528,0.3071632890093527,4.631476154642851,10.000000000000007,0.8846044439134049,0.49300000000000027,-0.6948137819014994,1.6972479463033197,0.41935539613608713,7.294091956063003,0.11373105732557992,0.46322572,0.28954893,7.570220808584846
Clavicula100205_22.ply,0.6004811,0.055157654,6.75855636244758,10.000000000000007,0.603009,1.9710000000000016,0.2542150165965135,0.8443135,1.1634591,118.52128885028742,0.005066440722992321,0.04154913,0.020820837,5.753277462108529,10.000000000000007,0.046473958,1.2260000000000009,0.3789845429652265,0.7480523,1.2600826,3.9823246193499386,0.010433385900176272,0.702643066336507,0.04571382098412157,4.48929052541324,10.000000000000007,0.7041285306549231,0.6660000000000004,-0.5196246605068531,1.4394318679237008,0.6049415869614773,236.2564720521979,0.002974069070925883,0.43196002,0.28283873,7.517643572503861
Clavicula100205_19.ply,0.6026389,0.06106506,6.8282595371016015,10.000000000000007,0.60572475,1.7700000000000014,0.24823983856230689,0.84710354,1.162915,97.39528723021886,0.006187556567479572,0.045836467,0.02806392,5.75874737074793,5.989000000000005,0.053745218,0.9470000000000007,0.5301288722404807,0.63572794,1.3960295,2.667687018424658,0.01718210174065502,0.7012413230588608,0.055801124805779236,4.7835967662896755,10.000000000000007,0.7034579536206781,0.6280000000000003,-0.3847870398953248,1.3449125609062178,0.7124065471232279,157.927705403772,0.004440267914144671,0.41244504,0.2902673,7.488892856529466
Clavicula100205_3.ply,0.5588039,0.06759689,3.87436882391734,10.000000000000007,0.56284773,1.8500000000000014,0.028308469307715314,0.9787772,1.0145879,68.84473396261546,0.008116873171918528,77.1629,67.901886,2.8249867144687215,1.331000000000001,102.62007,0.2,0.9398698073981481,0.10604131,3.8524442,1.3009438080464406,59.31301298712875,-1705.614753779243,6859.664867516909,2.1971368596688343,0.2,7044.013850106667,0.2,-2.031150824958623,8.184260961362197,0.08791723688862302,0.0622818108042531,-27385.4393723371,0.3850536,0.30342206,4.154027032258866
Clavicula100205_10.ply,0.6458236,0.07496031,6.931152965024154,10.000000000000007,0.6501591,2.5420000000000025,0.15460688039986495,0.90738535,1.0966327,74.23148211775788,0.008700130040065696,0.119816124,0.074476354,6.151576635613962,5.177000000000005,0.14107563,1.239000000000001,0.48776282585927533,0.6859516,1.3435667,2.5883131758646982,0.04629119917072508,0.32532822631401165,0.4265010676757124,6.002892995007217,10.000000000000007,0.5364065152790978,1.324000000000001,-0.594486440030358,1.4273752442304914,0.6359453568641154,0.5818704784060497,0.5591076337215138,0.41644874,0.2889745,7.456272688243958
Clavicula100205_30.ply,0.5696744,0.07916557,7.039337112183829,10.000000000000007,0.5751486,2.297000000000002,0.13896215170103407,0.9156938,1.0873522,51.78332329993373,0.011001116677591107,0.23657954,0.08550294,5.729434514087675,10.000000000000007,0.2515561,1.476000000000001,0.3271973494356316,0.7911195,1.2186072,7.65599323371049,0.030901222279309637,0.8773958635394855,0.14165072152272523,3.9013789970074666,10.000000000000007,0.8887564355808183,0.5830000000000004,-0.4258706594776685,1.3330477533261822,0.6105516079419385,38.367439251091284,0.022868241422041996,0.44260374,0.29132736,7.556697189050195
Clavicula100205_16.ply,0.6001656,0.056602046,6.614157039363095,10.000000000000007,0.6028287,1.8990000000000016,0.23993286624487356,0.85267127,1.1552163,112.43128747242827,0.005338066149566145,0.042934287,0.023536509,5.808449915394332,10.000000000000007,0.048962317,1.0360000000000007,0.4393669235849068,0.6966124,1.3126042,3.3276192154119144,0.012902403569791186,0.7013736769855697,0.10279180155325449,3.494835982255245,10.000000000000007,0.7088659708664152,0.24100000000000005,-0.4024256970273556,1.6084173476452255,0.3236405699059657,46.55766602305921,0.015064622797847975,0.41366103,0.28930786,7.486530054064024
Clavicula100205_24.ply,0.6027717,0.058290377,6.78424678450888,10.000000000000007,0.60558355,1.8760000000000014,0.27525765355177506,0.83129907,1.1789031,106.93534577397168,0.005636786791764871,0.042256817,0.022799984,5.686237266517791,10.000000000000007,0.048015274,1.0220000000000007,0.4291183505146278,0.70114714,1.3047578,3.4350552958314893,0.012301641382056385,0.7020591437985568,0.048358892906985716,4.88498164775537,10.000000000000007,0.7037226543234492,0.6510000000000005,-0.46152122477721136,1.4007102984029167,0.6529346552171366,210.76763936506467,0.00333096269386279,0.44698158,0.2828034,7.538798094508093
